,lat,lon
232,59.9527925,17.8617244
233,59.9525249,17.8627537
234,59.9517961,17.6709613
235,59.9513198,18.047414
236,59.9511211,18.0467055
237,59.9508336,17.4100117
238,59.9499796,17.4111274
239,59.9449783,17.4271143
240,59.9449151,17.5909614
241,59.9446944,17.4277694
242,59.9442985,17.8239395
243,59.9437957,17.5911834
244,59.9435231,17.8226732
245,59.9414561,17.4396381
246,59.9412954,17.439612
247,59.938437,17.5941249
248,59.9383492,17.5937266
249,59.9369235,17.4567089
250,59.9362492,17.4591922
251,59.9352614,17.6460104
252,59.9351039,17.6454599
253,59.934739,17.4691873
254,59.9343481,17.4708166
255,59.9334711,17.5965439
256,59.9325474,17.5965188
257,59.9307287,17.4891794
258,59.9307275,17.6409339
259,59.9303564,17.6412091
260,59.9300526,17.4902644
261,59.9279788,17.5992019
262,59.9259798,17.5999406
263,59.9259598,17.5997502
264,59.9256778,17.6416902
265,59.9248475,17.6414887
266,59.9244713,17.4985341
267,59.9232232,17.4996153
268,59.9206503,17.6027383
269,59.9206432,17.6422455
270,59.9199466,17.6419986
271,59.9195956,17.6028464
272,59.9152099,17.5203434
273,59.9144293,17.5225685
274,59.9134511,17.6432218
275,59.9120733,17.6431719
276,59.9120127,17.5313068
277,59.9118029,17.5313273
278,59.9104562,17.6076885
279,59.9098453,17.5893749
280,59.9097289,17.5894465
281,59.9096699,17.6076369
282,59.9093223,18.267531
283,59.9088871,18.2639413
284,59.9088196,18.2640853
285,59.9078299,18.2626636
286,59.9071212,18.261297
287,59.9068434,17.6437349
288,59.9057398,17.6099837
289,59.9056847,17.6430298
290,59.9053231,17.0522393
291,59.9046576,17.0541426
292,59.9040718,17.6102894
293,59.9033732,18.2560408
294,59.9032755,16.8971127
295,59.9028706,17.0783308
296,59.9027803,18.2549863
297,59.9021165,16.8976964
298,59.9018725,17.0809271
299,59.9007687,17.5454919
300,59.8995377,17.7196041
301,59.8995055,17.719472
302,59.8993078,17.54646
303,59.8985755,17.0924164
304,59.8985069,17.094425
305,59.8980819,17.7085502
306,59.8980777,17.6379243
307,59.897701,18.2442201
308,59.8975867,17.7083173
309,59.8975502,17.7324057
310,59.897493,17.7323313
311,59.8973709,18.2438269
312,59.8965697,17.7379909
313,59.8958339,17.1209919
314,59.8954867,17.1230943
315,59.8937169,17.6157049
316,59.8932903,17.151816
317,59.89329,17.742858
318,59.8932352,17.7428558
319,59.8931586,17.6155855
320,59.8928281,17.1540262
321,59.8926204,18.2286702
322,59.8922859,18.2270106
323,59.8904853,17.7485584
324,59.8902711,17.7481755
325,59.8883878,18.1991336
326,59.8881591,18.1982088
327,59.8850927,17.9774173
328,59.8850178,17.9778932
329,59.8849093,17.6194052
330,59.8846986,17.5658234
331,59.8836477,17.74005
332,59.8836173,17.567304
333,59.883596,17.7401986
334,59.8810387,17.7099595
335,59.8808444,17.7096388
336,59.8801299,18.1736675
337,59.8800095,18.1726348
338,59.8793779,17.7453757
339,59.8792866,17.7453417
340,59.8791928,17.579103
341,59.8789349,17.2690183
342,59.8787698,17.2713376
343,59.8787632,17.5800104
344,59.8787603,17.6176502
345,59.878668,17.6181472
346,59.8781302,17.6357668
347,59.8779989,18.0086427
348,59.8777751,18.0254441
349,59.8777343,17.2854206
350,59.8776891,18.0102866
351,59.8775874,18.026358
352,59.8771515,18.035343
353,59.8770051,17.2870525
354,59.876726,17.9642671
355,59.8765824,17.6541557
356,59.8762838,18.0392488
357,59.8762652,17.7498597
358,59.8762338,17.7499909
359,59.8759954,17.6540859
360,59.8752823,18.0463933
361,59.8751268,17.7417321
362,59.8750138,17.7418652
363,59.8748016,17.2928067
364,59.8747085,17.7455063
365,59.8746564,17.7452537
366,59.8745659,17.2929095
367,59.8741164,17.5947838
368,59.8739138,18.0539392
369,59.8738978,17.595556
370,59.8738001,17.6716724
371,59.8734026,17.67675
372,59.8733796,18.0557079
373,59.8732331,17.7259504
374,59.8731792,17.6873407
375,59.8731299,17.7260401
376,59.8730108,17.6877508
377,59.872491,17.6244852
378,59.8724816,17.6255627
379,59.8719821,17.6677046
380,59.8717812,17.6792244
381,59.8711774,17.6231964
382,59.8710664,17.6230374
383,59.8705604,17.6652708
384,59.870407,18.0670619
385,59.8699284,17.3134167
386,59.8697572,18.0681214
387,59.8695598,17.6624484
388,59.8695305,17.3145332
389,59.8694272,18.1507156
390,59.8690105,18.1489784
391,59.8686951,17.6286562
392,59.8678139,17.6221909
393,59.8673089,17.6221713
394,59.8669669,17.9433943
395,59.8665473,17.6565259
396,59.866512,18.139075
397,59.8664886,17.9419151
398,59.8662058,18.1378481
399,59.8661662,17.6550576
400,59.8656183,17.6412016
401,59.8652757,17.6421446
402,59.8648842,17.6529154
403,59.8645281,18.1261098
404,59.8642046,18.1231377
405,59.8638309,17.7102163
406,59.8634865,17.7088539
407,59.8633663,17.682295
408,59.8632857,17.6823485
409,59.8630202,17.6408984
410,59.8629676,17.3546945
411,59.8627039,17.35616
412,59.862625,18.0668438
413,59.8618652,17.6478722
414,59.8613655,18.1114866
415,59.8612522,17.6899228
416,59.8610823,17.6852461
417,59.8609938,17.9252268
418,59.8609783,17.6277899
419,59.8608783,17.9260271
420,59.8607338,17.9182518
421,59.8607021,17.6397345
422,59.860651,18.109758
423,59.8599947,17.9108637
424,59.8598884,17.9100523
425,59.8590712,17.6354263
426,59.8588516,17.6394775
427,59.8586057,17.6327337
428,59.8579054,17.8139443
429,59.8573707,17.6364361
430,59.8571525,17.8164898
431,59.856994,18.1020885
432,59.8569493,18.1026622
433,59.8567133,17.6347801
434,59.8564477,17.6429272
435,59.8562627,17.8038809
436,59.8562183,17.8044298
437,59.8561495,17.6431918
438,59.8561475,17.9068257
439,59.8558264,17.6140234
440,59.8557676,17.9046499
441,59.8554195,17.8336152
442,59.8554069,17.8314609
443,59.8553931,17.6445712
444,59.8552785,17.645004
