,lat,lon
158,59.3363597,18.05912
159,59.3363377,18.0993834
160,59.3359878,18.0319288
161,59.3350379,18.029519
162,59.3348785,17.9992925
163,59.3341689,18.0624755
164,59.3340538,18.0346653
165,59.3339835,17.9477962
166,59.3333467,17.924382
167,59.3333247,18.0391327
168,59.332942,18.083792
169,59.3328278,18.0851534
170,59.3325407,18.0178185
171,59.3322305,18.0447935
172,59.3317867,18.0150096
173,59.3317728,18.0598649
174,59.3313029,17.9316449
175,59.3312508,18.0446811
176,59.3309224,18.0324246
177,59.3308412,18.3954333
178,59.3307783,18.0492506
179,59.3305096,18.066104
180,59.3294442,17.928936
181,59.3293498,18.0032718
182,59.3291202,18.0287657
183,59.3290383,18.0421487
184,59.3288385,17.938666
185,59.3282216,18.0078863
186,59.3281511,18.0133082
187,59.3264764,18.3918905
188,59.3253626,18.0077871
189,59.324637,18.0076239
190,59.324503,18.3999924
191,59.3237087,17.7497381
192,59.3236471,18.0690827
193,59.3230131,18.4913308
194,59.3226193,17.9564095
195,59.3216129,17.9896557
196,59.3211666,18.3904429
197,59.3202659,17.9876009
198,59.3190458,18.0370074
199,59.3190277,18.2430131
200,59.3185291,18.0608735
201,59.318435,18.0705069
202,59.3181839,18.0345437
203,59.3175514,18.0295451
204,59.3171431,18.049797
205,59.3171322,18.0578739
206,59.3169991,18.055384
207,59.3165893,18.0083714
208,59.3163226,18.0658255
209,59.3160256,18.0386832
210,59.3154181,18.084885
211,59.3153508,18.0760039
212,59.3151869,18.0859752
213,59.3151164,18.0837913
214,59.3147934,17.9952548
215,59.3147504,18.089932
216,59.3143389,18.0730644
217,59.3138035,18.0652174
218,59.3137363,18.4483428
219,59.3132143,18.0825953
220,59.3130234,18.0655654
221,59.3125328,18.0580423
222,59.31252,18.1067251
223,59.3121443,18.0689216
224,59.3114149,18.07437
225,59.3108874,18.0530342
226,59.3106003,18.1649854
227,59.3101252,18.0220497
228,59.3100928,18.1041519
229,59.3099024,18.2286701
230,59.3098206,18.2055452
231,59.3095868,18.0826587
232,59.3095428,18.0840148
233,59.3088729,18.0627356
234,59.3088403,18.0795322
235,59.3087876,18.0647771
236,59.3087696,18.0767004
237,59.3072141,18.0803489
238,59.3064788,18.0065377
239,59.3060859,18.1078156
240,59.3059418,17.9915419
241,59.3054736,18.001788
242,59.3053082,18.1065872
243,59.305015,17.9922036
244,59.3024761,18.1247861
245,59.3020188,18.0081798
246,59.3016304,17.9883553
247,59.3001669,17.9957692
248,59.2984438,18.0874996
249,59.2983033,18.0756715
250,59.2977255,18.098595
251,59.2976605,18.0795049
252,59.2971606,18.052428
253,59.2966892,18.0403467
254,59.2961983,18.0527636
255,59.2954977,18.1026689
256,59.2945744,17.9344594
257,59.2943924,17.9343445
258,59.2940775,18.1160657
259,59.294042,18.0498135
260,59.2937888,18.0604612
261,59.2937793,17.9655088
262,59.2933661,17.9675906
263,59.2929404,18.106698
264,59.2925848,17.9690005
265,59.2901044,18.0916175
266,59.2895212,18.0939475
267,59.2893008,18.0893313
268,59.2869324,18.0104442
269,59.2853202,17.9631433
270,59.2850335,17.9206053
271,59.2849094,17.9217137
272,59.2848997,17.9931615
273,59.2848615,18.0907771
274,59.2835879,17.9708595
275,59.2834518,18.1159745
276,59.2797079,17.7894044
277,59.2777689,18.0018297
278,59.2769613,17.9330174
279,59.2747797,17.7852974
280,59.2744106,18.0588674
281,59.2672829,17.910325
282,59.2670718,18.1280423
283,59.2657461,17.9633172
284,59.263508,18.078365
285,59.2613292,18.1838705
286,59.2604203,17.2192348
287,59.2589377,17.2205416
288,59.2574826,18.0815651
